age,sex,sex_2_TEXT,gender,gender_4_TEXT,relation_1,relation_2,relation_3,relation_4,relation_5,relation_6,relation_7,relation_7_TEXT,kids,soibh_1,soibh_2,soibh_3,soiatt_1,soiatt_2,soiatt_3,soides_1,soides_2,soides_3,sdo_1,sdo_2,sdo_3,sdo_4,sdo_5,sdo_6,sdo_7,sdo_8,sdo_9,sdo_10,sdo_11,sdo_12,sdo_13,sdo_14,moral_7,moral_8,moral_9,moral_10,moral_11,moral_12,moral_1,moral_2,moral_3,moral_4,moral_5,moral_6,sexorien,sexorien_3_TEXT,ethnic,ethnic_0_TEXT,ethnic_1_TEXT,ethnic_2_TEXT,ethnic_3_TEXT,ethnic_6_TEXT,relafil,relafil_9_TEXT,rel_1,polit_1,withdraw,ID,counter,soiatt_3R,soibh,soibh2,soiatt,soides,soitot,sdo_8R,sdo_9R,sdo_10R,sdo_11R,sdo_12R,sdo_13R,sdo_14R,sdo,moral_2R,moral_4R,moral_8R,moral_10R,moral_wo,moral_men
34,Female,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,0,1,1,1,7,2,6,2,1,1,1,1,1,3,2,2,1,6,7,6,7,6,7,7,2,6,2,6,2,2,2,6,2,6,2,2,0,NA,0,NA,NA,NA,NA,NA,8,NA,1,3,0,5c3d19e75f5dca00019abdbd,Male promiscuity first,4,1,1,4.333333333,1.333333333,2.222222222,2,1,2,1,2,1,1,1.5,2,2,2,2,2,2
18,Male,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,0,2,1,1,8,6,4,8,7,5,1,1,5,5,1,1,2,7,7,7,7,7,7,3,5,7,1,1,3,5,5,7,2,5,4,5,0,NA,0,NA,NA,NA,NA,NA,0,NA,2,3,0,5f025df7ac08ac3fc4fc6e07,Male promiscuity first,6,1.333333333,1,6.666666667,6.666666667,4.888888889,1,1,1,1,1,1,5,1.928571429,1,3,1,7,3.333333333,3.666666667
NA,Female,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,0,2,1,1,9,9,4,2,2,2,1,1,1,1,1,1,3,7,7,7,7,7,7,7,1,7,1,7,1,1,1,7,1,7,1,1,0,NA,1,NA,NA,NA,NA,NA,0,NA,1,4,0,5bf58c94d382df0001b9f176,Female promiscuity first,6,1.333333333,1,8,2,3.777777778,1,1,1,1,1,1,1,1.142857143,1,1,1,1,1,1
25,Female,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,0,2,8,8,8,6,4,4,2,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,1,7,1,7,1,1,1,7,1,7,1,1,0,NA,0,NA,NA,NA,NA,NA,0,NA,1,1,0,5d13cc6dbe89fb001ae95f4c,Female promiscuity first,6,6,8,6.666666667,2.333333333,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,Female,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,0,2,1,1,5,1,5,2,2,2,4,5,5,5,1,1,1,6,6,7,7,7,7,7,1,6,3,6,3,4,2,6,3,6,2,1,0,NA,0,NA,NA,NA,NA,NA,1,NA,4,3,0,5e1ee2050c0b3120e01eeec1,Male promiscuity first,5,1.333333333,1,3.666666667,2,2.333333333,2,2,1,1,1,1,1,2.214285714,2,2,2,2,2,2.5
39,Female,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,0,3,2,1,5,1,9,2,3,2,2,2,4,2,1,1,4,6,6,6,6,3,6,5,6,4,4,3,3,3,6,4,4,3,4,3,0,NA,1,NA,NA,NA,NA,NA,1,NA,1,4,0,5f04f6f671b1197e2721ddf8,Female promiscuity first,1,2,1.5,2.333333333,2.333333333,2.222222222,2,2,2,2,5,2,3,2.428571429,4,5,4,5,4.333333333,4.166666667
32,Male,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,0,3,2,8,5,7,2,9,6,9,6,6,2,6,6,6,6,6,6,6,4,5,6,6,2,6,2,6,5,2,2,6,2,6,4,4,0,NA,0,NA,NA,NA,NA,NA,1,NA,1,4,0,5ea73933b5f2970ff58ef5ba,Female promiscuity first,8,4.333333333,5,6.666666667,8,6.333333333,2,2,2,4,3,2,2,3.928571429,2,2,2,2,2.666666667,2.5
22,Female,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,0,1,1,1,8,2,7,2,2,1,1,1,1,2,2,1,3,6,7,7,6,6,7,6,2,6,1,6,2,2,2,6,1,6,1,1,0,NA,0,Russian,NA,NA,NA,NA,0,NA,2,2,0,5f284c02621c3811c1484243,Male promiscuity first,3,1,1,4.333333333,1.666666667,2.333333333,2,1,1,2,2,1,2,1.571428571,2,2,2,2,1.5,1.833333333
33,Male,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,0,2,5,5,9,7,2,6,1,1,1,1,1,1,1,1,2,7,7,7,7,7,7,7,1,7,1,7,1,1,1,7,1,7,1,1,0,NA,0,NA,NA,NA,NA,NA,0,NA,1,3,0,5c8582b1969e2600012b2f0d,Female promiscuity first,8,4,5,8,2.666666667,4.888888889,1,1,1,1,1,1,1,1.071428571,1,1,1,1,1,1
25,Female,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,0,2,2,4,9,5,1,1,1,1,2,1,1,1,1,1,4,7,7,7,7,7,7,7,1,7,1,1,1,1,1,7,1,7,1,1,0,NA,0,NA,NA,NA,NA,NA,9,Orthodox,3,3,0,NA,Female promiscuity first,9,2.666666667,3,7.666666667,1,3.777777778,1,1,1,1,1,1,1,1.285714286,1,1,1,7,1,2
